Ref,Val,Package,PosX,PosY,Rot,Side,x_mm,y_mm,w_mm,h_mm
TP_PB7,TP_SP,TP-SP,18.288,42.418,0.0,top,18.288,42.418,0.8,0.8
TP_PWRIN0,TP_SP,TP-SP,13.208,8.255,0.0,top,13.208,8.255,0.8,0.8
TP_RESET0,TP_SP,TP-SP,33.02,2.54,0.0,top,33.02,2.54,0.8,0.8
TP_RESET2,TP_SP,TP-SP,15.748,47.498,0.0,top,15.748,47.498,0.8,0.8
TP_RX0,TP_SP,TP-SP,52.451,34.163,0.0,top,52.451,34.163,0.8,0.8
TP_RXL0,TP_SP,TP-SP,31.369,35.687,0.0,top,31.369,35.687,0.8,0.8
TP_SCK2,TP_SP,TP-SP,18.288,47.498,0.0,top,18.288,47.498,0.8,0.8
TP_SCL0,TP_SP,TP-SP,18.796,50.8,0.0,top,18.796,50.8,0.8,0.8
TP_SDA0,TP_SP,TP-SP,21.336,50.8,0.0,top,21.336,50.8,0.8,0.8
TP_TX0,TP_SP,TP-SP,51.054,32.004,0.0,top,51.054,32.004,0.8,0.8
TP_TXL0,TP_SP,TP-SP,31.369,38.735,0.0,top,31.369,38.735,0.8,0.8
TP_UGND0,TP_SP,TP-SP,5.969,36.83,0.0,top,5.969,36.83,0.8,0.8
TP_USBVCC0,TP_SP,TP-SP,9.906,30.861,0.0,top,9.906,30.861,0.8,0.8
TP_USH0,TP_SP,TP-SP,9.017,42.799,0.0,top,9.017,42.799,0.8,0.8
TP_VIN0,TP_SP,TP-SP,45.72,2.54,0.0,top,45.72,2.54,0.8,0.8
TP_VUCAP0,TP_SP,TP-SP,14.986,41.91,0.0,top,14.986,41.91,0.8,0.8
TP_XT1,TP_SP,TP-SP,42.545,20.193,0.0,top,42.545,20.193,0.8,0.8
TP_XT2,TP_SP,TP-SP,40.005,20.193,0.0,top,40.005,20.193,0.8,0.8
TP_XT3,TP_SP,TP-SP,16.383,26.162,0.0,top,16.383,26.162,0.8,0.8
TP_XT4,TP_SP,TP-SP,21.463,26.162,0.0,top,21.463,26.162,0.8,0.8
TP_XUSB0,TP_SP,TP-SP,8.509,36.83,0.0,top,8.509,36.83,0.8,0.8
TX0,YELLOW,CHIP-LED0805,27.94,36.576,90.0,top,27.94,36.576,3.3,1.2
U1,NCP1117ST50T3G,SOT223,7.747,17.399,90.0,top,7.747,17.399,8.4154,5.842
U2,LP2985-33DBVR,SOT23-DBV,21.971,15.24,-90.0,top,21.971,15.24,3.8,2.45
U3,ATMEGA16U2-MU(R),MLF32,19.939,34.671,90.0,top,19.939,34.671,5.6,5.6
U5,LMV358IDGKR,MSOP08,19.05,20.32,90.0,top,19.05,20.32,5.425,2.25
UNK_HOLE_0,,dummyfp0,66.04,35.56,0.0,top,66.04,35.56,3.2,3.2
UNK_HOLE_1,,dummyfp1,66.04,7.62,0.0,top,66.04,7.62,3.2,3.2
UNK_HOLE_2,,dummyfp2,15.24,50.8,0.0,top,15.24,50.8,3.2,3.2
UNK_HOLE_3,,dummyfp3,13.97,2.54,0.0,top,13.97,2.54,3.2,3.2
X1,POWERSUPPLY_DC21MMX,POWERSUPPLY_DC-21MM,5.334,8.382,90.0,top,5.334,8.382,9.9944,9.0038
X2,USB-B_TH,PN61729,3.81,38.1,-90.0,top,3.81,38.1,7.1562,15.216
Y1,16MHz,QS,18.923,26.162,180.0,top,18.923,26.162,6.7564,1.6764
Y2,CSTCE16M0V53-R0 16MHZ,RESONATOR,41.275,24.892,0.0,top,41.275,24.892,2.7,2.0
Z1,CG0603MLC-05E,CT_CN0603,12.7,39.37,180.0,top,12.7,39.37,3.0,1.0
Z2,CG0603MLC-05E,CT_CN0603,12.7,33.655,180.0,top,12.7,33.655,3.0,1.0
ZU4,ATMEGA328P-PU,DIL28-3,46.355,16.383,180.0,top,46.355,16.383,34.4424,9.7536
